,geographic_identifier,year,species,measurement_value
15758,6140010,2019,BFT,60.30081
15759,6140010,2020,BFT,41.96452
15760,6140010,2021,BFT,45.77496
15761,6140010,2022,BFT,10.99127
15762,6140010,2023,BFT,3.5074
15763,6140015,1990,BFT,1.3
15764,6140015,1991,BFT,541.6
15765,6140015,1992,BFT,354.09999999999997
15766,6140015,1993,BFT,179.0
15767,6140015,1994,BFT,390.5
15768,6140015,1995,BFT,1071.7
15769,6140015,2000,BFT,4.6
15770,6140015,2001,BFT,902.29
15771,6140015,2002,BFT,977.04
15772,6140015,2003,BFT,1138.921
15773,6140015,2004,BFT,827.1980000000001
15774,6140015,2005,BFT,1017.152
15775,6140015,2006,BFT,1022.648
15776,6140015,2007,BFT,1323.5515
15777,6140015,2008,BFT,1204.2142999999999
15778,6140015,2009,BFT,640.7576
15779,6140015,2010,BFT,497.14067
15780,6140015,2011,BFT,375.47373999999996
15781,6140015,2012,BFT,373.787
15782,6140015,2013,BFT,388.987
15783,6140015,2014,BFT,386.9599099999999
15784,6140015,2015,BFT,457.89198000000005
15785,6140015,2016,BFT,519.1349299999999
15786,6140015,2017,BFT,635.26702
15787,6140015,2018,BFT,743.95754
15788,6140015,2019,BFT,826.5884900000001
15789,6140015,2020,BFT,902.98431
15790,6140015,2021,BFT,895.9227199999999
15791,6140015,2022,BFT,818.13866
15792,6140015,2023,BFT,987.5431
15793,6140020,2007,BFT,4025.79
15794,6140025,2012,BFT,3.957
15795,6140025,2021,BFT,6.162
16196,6145010,2009,BFT,4.0635
16197,6145010,2019,BFT,0.18193
16199,6150000,2006,BFT,0.0032
16201,6150000,2009,BFT,0.5615
16206,6150000,2018,BFT,0.08
16207,6150000,2019,BFT,0.11
16208,6150000,2020,BFT,0.2
16209,6150000,2022,BFT,0.0442
16211,6155000,1980,BFT,47.0
16212,6155000,1981,BFT,102.7
16213,6155000,2017,BFT,12.221
16214,6155000,2020,BFT,0.997
16216,6160000,1979,BFT,59.7
16217,6160000,1980,BFT,237.9
16218,6160000,1981,BFT,59.8
16219,6160000,1983,BFT,0.8
16220,6160000,1984,BFT,241.6
16221,6160000,1986,BFT,24.0
16222,6160000,2017,BFT,17.313000000000002
16223,6160000,2019,BFT,25.635
16224,6160000,2020,BFT,132.69099999999997
16225,6160000,2021,BFT,135.427
16226,6160000,2022,BFT,87.59500000000001
16227,6160000,2023,BFT,89.812
16228,6160005,2016,BFT,39.64
